PS C:\Users\Mingde\OneDrive\2023 Sp\INFO 550\Final project\myCode> & 'C:\ProgramData\Anaconda3\python.exe' pacman.py -p PacmanDQN -n 15200 -x 15000 -l mediumClassic
Training model
Episode No. 154 | lose | Q(s,a) = -999.0000     | reward = -479.0       | epsilon = 0.9795
Episode No. 155 | lose | Q(s,a) =  8.4483       | reward = -474.0       | epsilon = 0.9793
Episode No. 156 | lose | Q(s,a) =  4.0674       | reward = -429.0       | epsilon = 0.9792
Episode No. 157 | lose | Q(s,a) =  7.8208       | reward = -349.0       | epsilon = 0.9791
Episode No. 158 | lose | Q(s,a) =  19.1984      | reward = -427.0       | epsilon = 0.9789
Episode No. 159 | lose | Q(s,a) = -999.0000     | reward = -482.0       | epsilon = 0.9788
Episode No. 160 | lose | Q(s,a) =  20.1364      | reward = -464.0       | epsilon = 0.9787
Episode No. 161 | lose | Q(s,a) = -999.0000     | reward = -444.0       | epsilon = 0.9785
Episode No. 162 | lose | Q(s,a) =  7.1698       | reward = -363.0       | epsilon = 0.9784
Episode No. 163 | lose | Q(s,a) = -999.0000     | reward = -409.0       | epsilon = 0.9783
Episode No. 164 | lose | Q(s,a) = -999.0000     | reward = -480.0       | epsilon = 0.9781
Episode No. 165 | lose | Q(s,a) = -999.0000     | reward = -455.0       | epsilon = 0.9780
Episode No. 166 | lose | Q(s,a) =  18.9918      | reward = -419.0       | epsilon = 0.9779
Episode No. 167 | lose | Q(s,a) =  18.9516      | reward = -476.0       | epsilon = 0.9777
Episode No. 168 | lose | Q(s,a) = -999.0000     | reward = -444.0       | epsilon = 0.9776
Episode No. 169 | lose | Q(s,a) =  20.4372      | reward = -421.0       | epsilon = 0.9775
Episode No. 170 | lose | Q(s,a) =  19.6485      | reward = -471.0       | epsilon = 0.9773
Episode No. 171 | lose | Q(s,a) = -999.0000     | reward = -485.0       | epsilon = 0.9772
Episode No. 172 | lose | Q(s,a) = -999.0000     | reward = -420.0       | epsilon = 0.9771
Episode No. 173 | lose | Q(s,a) = -999.0000     | reward = -480.0       | epsilon = 0.9769
Episode No. 174 | lose | Q(s,a) =  8.1310       | reward = -381.0       | epsilon = 0.9768
Episode No. 175 | lose | Q(s,a) =  18.9686      | reward = -453.0       | epsilon = 0.9767
Episode No. 176 | lose | Q(s,a) =  22.0563      | reward = -252.0       | epsilon = 0.9765
Episode No. 177 | lose | Q(s,a) = -999.0000     | reward = -379.0       | epsilon = 0.9764
Episode No. 178 | lose | Q(s,a) =  19.3659      | reward = -432.0       | epsilon = 0.9763
Episode No. 179 | lose | Q(s,a) =  21.2454      | reward = -419.0       | epsilon = 0.9761
Episode No. 180 | lose | Q(s,a) = -999.0000     | reward = -478.0       | epsilon = 0.9760
Episode No. 181 | lose | Q(s,a) = -1.7990       | reward = -470.0       | epsilon = 0.9759
Episode No. 182 | lose | Q(s,a) =  19.4395      | reward = -414.0       | epsilon = 0.9757
Episode No. 183 | lose | Q(s,a) = -999.0000     | reward = -459.0       | epsilon = 0.9756
Episode No. 184 | lose | Q(s,a) = -999.0000     | reward = -429.0       | epsilon = 0.9755
Episode No. 185 | lose | Q(s,a) = -999.0000     | reward = -417.0       | epsilon = 0.9753
Episode No. 186 | lose | Q(s,a) =  20.2563      | reward = -467.0       | epsilon = 0.9752
Episode No. 187 | lose | Q(s,a) = -999.0000     | reward = -502.0       | epsilon = 0.9751
Episode No. 188 | lose | Q(s,a) =  20.0629      | reward = -417.0       | epsilon = 0.9749
